,TERMO
0,FEITA
1,REDEA
2,RATOU
3,ZURRO
4,AZOES
5,PICUM
6,ADEJO
7,FELPA
8,BOLBO
9,PICAR
10,RAPEM
11,FARSA
12,CURVE
13,ESPIO
14,CUECA
15,NUBEA
16,IARAS
17,MORRE
18,XEQUE
19,GORJA
20,SEZAO
21,ASSES
22,NISSO
23,DESCO
24,ORINA
25,MUDEI
26,ALUNO
27,GRILA
28,ESPIR
29,COREM
30,POUND
31,SOTAO
32,UNHAR
33,VALER
34,MOGER
35,ITAJA
36,ACABA
37,DAMAS
38,CIOBA
39,PLUDA
40,SEVOU
41,BRISA
42,IMOLE
43,FEIOS
44,PENES
45,CAMAL
46,NINAR
47,PLUMA
48,AGUAR
49,SOADA
50,VOILE
51,ENCHE
52,JOVEM
53,EMESE
54,RIJAO
55,PANTA
56,CASOU
57,CICLO
58,LUAVA
59,UIVOU
60,FASTO
61,CINTA
62,UIBAI
63,CAPAR
64,PIEIS
65,MANJA
66,LESAO
67,VAGAO
68,DUREI
69,MIAIS
70,ALPES
71,LUXEM
72,SOADO
73,FUSIL
74,NOTEM
75,RILEX
76,RAFAM
77,PIROU
78,BONZO
79,ASSIS
80,PECAS
81,CRUDE
82,PUJAR
83,ITAJU
84,FALHE
85,GENRO
86,PISES
87,SLACK
88,CESSA
89,SAIRE
90,URINE
91,RESTO
92,GORAS
93,ADUBO
94,ALUDE
95,ORNAR
96,BUFAR
97,TIRAM
98,SOLHO
99,RASTO
100,POJAS
101,DIEGO
102,BUXAO
103,BUGAR
104,RUSGA
105,BECHE
106,MESAO
107,SARDA
108,NADIA
109,SOMEM
110,VISOM
111,POUPO
112,CIFRE
113,FEZES
114,KYZYL
115,SOVAS
116,BIMBO
117,LUZIO
118,BISAI
119,TAPAS
120,VOEJA
121,FERVE
122,IPERO
123,COICE
124,ACATA
125,SEDEX
126,MAURO
127,FASTA
128,CORVA
129,ATUAR
130,DUZIA
131,ACINO
132,RATES
133,ORFEU
134,ANUIU
135,VAGOS
136,REDIL
137,ACHAI
138,LEGAO
139,NELES
140,FRUIR
141,CONJA
142,GASTO
143,VITOR
144,TRUCO
145,ACUDI
146,LAIVO
147,SURFO
148,CAPAZ
149,VERBA
150,DESSA
151,PAEJA
152,REFIL
153,SEVAS
154,ESQUI
155,ALTOR
156,BISAM
157,FURTE
158,FERRY
159,DIODO
160,ADIES
161,BENIM
162,CHITA
163,TRENS
164,MERME
165,ALBOI
166,JAVES
